ESTADO;MUNICIPIO;POP;PIB PER CAPITA;SOL;CASAS;SOLAR_RESIDENCIAL;INDICE DE BUROCRACIA;ICMS;REAIS_POR_KWH;PRECO(REAIS/M2);INADIMPLENCIA;POP_SCORE;PIB_PER_CAPITA_SCORE;SOL_SCORE;CASAS_SCORE;SOLAR_RESIDENCIAL_SCORE;INDICE_DE_BUROCRACIA_SCORE;ICMS_SCORE;REAIS_POR_KWH_SCORE;PRECO(REAIS/M2)_SCORE;INADIMPLENCIA_SCORE;GD_SCORE;COD_MUN_x;COD_MUN_y
RO;Alta Floresta D'Oeste;22516;21600.73;0.2857142857142857;7270.0;0.012242090784044016;55.5;0.185;0.54603;1559.93;0.4191;0.0017542513670777238;0.03718040009675051;0.2857142857142857;0.001967237700007862;0.9761784957108203;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.20193111208823672;1100015;1100015
RO;Ariquemes;111148;23908.38;0.20743639921722112;27166.0;0.034933372598100566;55.5;0.185;0.54603;1559.93;0.4191;0.008904529921542328;0.04219266506666889;0.20743639921722112;0.007534036345912631;0.9320242350868869;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.1450729835644589;1100023;1100023
RO;Cabixi;5067;26347.78;0.3943248532289628;1975.0;0.011139240506329114;55.5;0.185;0.54603;1559.93;0.4191;0.0003465745630244149;0.04749109384383132;0.3943248532289628;0.0004857238866752452;0.9783244978181688;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.26857049906303426;1100031;1100031
RO;Cacoal;86416;26483.95;0.2825342465753425;24215.0;0.02932066900681396;55.5;0.185;0.54603;1559.93;0.4191;0.006909305970723001;0.04778685798525388;0.2825342465753425;0.006708361697537833;0.9429458207075386;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.195343245488354;1100049;1100049
RO;Cerejeiras;16088;31051.55;0.3730430528375734;5348.0;0.014210919970082274;55.5;0.185;0.54603;1559.93;0.4191;0.001235680303036537;0.05770778250872978;0.3730430528375734;0.001429471968331698;0.972347412137988;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.25708207799712246;1100056;1100056
RO;Colorado do Oeste;15213;21083.7;0.3292563600782779;5959.0;0.016445712367846956;55.5;0.185;0.54603;1559.93;0.4191;0.0011650907446924114;0.03605739992020862;0.3292563600782779;0.0016004266312110613;0.9679987990107137;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.2261686501129795;1100064;1100064
RO;Corumbiara;7052;47253.06;0.3524951076320939;2649.0;0.007550018875047188;55.5;0.185;0.54603;1559.93;0.4191;0.0005067120182393738;0.09289780744005915;0.3524951076320939;0.0006743056260871779;0.9853086527303214;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.25449680383393236;1100072;1100072
RO;Costa Marques;19255;13025.4;0.3145792563600783;3696.0;0.003246753246753247;55.5;0.185;0.54603;1559.93;0.4191;0.0014911741673517887;0.018554600619147703;0.3145792563600783;0.0009672508503665453;0.9936822436822437;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.21907085001996138;1100080;1100080
RO;Espigão D'Oeste;33009;19298.21;0.2991682974559687;8683.0;0.012553265000575837;55.5;0.185;0.54603;1559.93;0.4191;0.002600761350740476;0.032179277596138874;0.2991682974559687;0.00236258784509549;0.975572991466116;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.20890646070281269;1100098;1100098
RO;Guajará-Mirim;46930;19337.36;0.2725048923679061;10684.0;0.004867090977162112;55.5;0.185;0.54603;1559.93;0.4191;0.0037238210555502714;0.032264312230321834;0.2725048923679061;0.002922457371153765;0.9905292788108213;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.19594742905273868;1100106;1100106
RO;Jaru;51469;28988.7;0.24168297455968688;15910.0;0.02796983029541169;55.5;0.185;0.54603;1559.93;0.4191;0.004089999347349112;0.053227228354851976;0.24168297455968688;0.0043846653387602345;0.945574375806934;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.17187748751838616;1100114;1100114
RO;Ji-Paraná;131026;29332.41;0.26320939334637966;35567.0;0.027497399274608484;55.5;0.185;0.54603;1559.93;0.4191;0.010508163339558929;0.053973773798403055;0.26320939334637966;0.009884593011787478;0.9464936646593801;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.18572178447028645;1100122;1100122
RO;Machadinho D'Oeste;41724;15828.73;0.2089041095890411;9154.0;0.007537688442211055;55.5;0.185;0.54603;1559.93;0.4191;0.003303833351847966;0.024643493110695934;0.2089041095890411;0.0024943712267913656;0.9853326461366663;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.1538487014588928;1100130;1100130
RO;Nova Brasilândia D'Oeste;20504;17560.03;0.26981409001956946;5916.0;0.013184584178498986;55.5;0.185;0.54603;1559.93;0.4191;0.0015919357197767177;0.0284039136001201;0.26981409001956946;0.0015883954519904187;0.9743445270828638;0.44444444444444453;0.7419354838709676;0.9871499993113612;0.5121957815035151;0.45788113695090416;0.1899814440721615;1100148;1100148
